Title,Author,Price,Year Published,Pagecount,Genre,Summary,Edition,Copies
To Kill a Mockingbird,Harper Lee,10.99,1960,281,Fiction,A novel about racial injustice in the Deep South.,hardcover,1
1984,George Orwell,9.99,1949,328,Dystopian,A dystopian story about a totalitarian regime and surveillance.,hardcover,5
Pride and Prejudice,Jane Austen,8.99,1813,279,Romance,A classic romance novel exploring themes of class and marriage.,paperback,2
The Great Gatsby,F. Scott Fitzgerald,10.50,1925,180,Fiction,A story about the mysterious Jay Gatsby and the American Dream.,paperback,3
Moby Dick,Herman Melville,12.50,1851,635,Adventure,The tale of Captain Ahab's obsessive quest to kill the white whale Moby Dick.,paperback,4
Brave New World,Aldous Huxley,11.99,1932,311,Dystopian,A futuristic society controlled by technology and conditioning.,hardcover,10
The Catcher in the Rye,J.D. Salinger,10.99,1951,214,Fiction,A story about teenage rebellion and alienation.,paperback,3
Crime and Punishment,Fyodor Dostoevsky,14.99,1866,671,Philosophical Fiction,A psychological exploration of morality and guilt.,paperback,0
The Hobbit,J.R.R. Tolkien,12.99,1937,310,Fantasy,The adventures of Bilbo Baggins in Middle-earth.,paperback,8
War and Peace,Leo Tolstoy,18.99,1869,1225,Historical Fiction,A sweeping narrative of Russian society during the Napoleonic era.,paperback,2
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,13.99,1954,423,Fantasy,The first part of the epic trilogy where Frodo begins his journey to destroy the One Ring.,hardcover,3
The Lord of the Rings: The Two Towers,J.R.R. Tolkien,13.99,1954,352,Fantasy,The second part of the trilogy following the separate journeys of the Fellowship members.,hardcover,7
The Lord of the Rings: The Return of the King,J.R.R. Tolkien,13.99,1955,416,Fantasy,The final part of the trilogy where the fate of Middle-earth is decided.,hardcover,5
The Hunger Games,Suzanne Collins,10.99,2008,374,Dystopian,A young girl participates in a deadly televised competition.,paperback,4
Catching Fire,Suzanne Collins,11.99,2009,391,Dystopian,After winning the Hunger Games Katniss Everdeen faces new dangers as a rebellion starts to take root.,paperback,3
Mockingjay,Suzanne Collins,12.99,2010,390,Dystopian,Katniss becomes the symbol of rebellion as Panem descends into all-out war against the Capitol.,paperback,0
The Ballad of Songbirds and Snakes,Suzanne Collins,19.99,2020,528,Dystopian,The prequel to The Hunger Games series following the early years of President Snow during the 10th Hunger Games.,hardcover,5
Test1,John Doe,1.99,2024,1,Test,Test Description.,Paperback,1
Test2,John Doe,1.99,2024,1,Test,Test Description.,Paperback,2
Test3,John Doe,1.99,2024,1,Test,Test Description.,Paperback,3
Test4,John Doe,1.99,2024,1,Test,Test Description.,Paperback,4
Test5,John Doe,1.99,2024,1,Test,Test Description.,Paperback,5
Test6,John Doe,1.99,2024,1,Test,Test Description.,Paperback,6
Test7,John Doe,1.99,2024,1,Test,Test Description.,Paperback,7
Test8,John Doe,1.99,2024,1,Test,Test Description.,Paperback,8
Test9,John Doe,1.99,2024,1,Test,Test Description.,Paperback,9
Test10,John Doe,1.99,2024,1,Test,Test Description.,Paperback,10
Test11,John Doe,1.99,2024,1,Test,Test Description.,Paperback,11
Test12,John Doe,1.99,2024,1,Test,Test Description.,Paperback,12
Test13,John Doe,1.99,2024,1,Test,Test Description.,Paperback,13
Test14,John Doe,1.99,2024,1,Test,Test Description.,Paperback,14
Test15,John Doe,1.99,2024,1,Test,Test Description.,Paperback,15
Test16,John Doe,1.99,2024,1,Test,Test Description.,Paperback,16
Test17,John Doe,1.99,2024,1,Test,Test Description.,Paperback,17
Test18,John Doe,1.99,2024,1,Test,Test Description.,Paperback,18
Test19,John Doe,1.99,2024,1,Test,Test Description.,Paperback,19
Test20,John Doe,1.99,2024,1,Test,Test Description.,Paperback,20
Test21,John Doe,1.99,2024,1,Test,Test Description.,Paperback,21
Test22,John Doe,1.99,2024,1,Test,Test Description.,Paperback,22
Test23,John Doe,1.99,2024,1,Test,Test Description.,Paperback,23
Test24,John Doe,1.99,2024,1,Test,Test Description.,Paperback,24
Test25,John Doe,1.99,2024,1,Test,Test Description.,Paperback,25
Test26,John Doe,1.99,2024,1,Test,Test Description.,Paperback,26
Test27,John Doe,1.99,2024,1,Test,Test Description.,Paperback,27
Test28,John Doe,1.99,2024,1,Test,Test Description.,Paperback,28
Test29,John Doe,1.99,2024,1,Test,Test Description.,Paperback,29
Test30,John Doe,1.99,2024,1,Test,Test Description.,Paperback,30
Test31,John Doe,1.99,2024,1,Test,Test Description.,Paperback,31
Test32,John Doe,1.99,2024,1,Test,Test Description.,Paperback,32
Test33,John Doe,1.99,2024,1,Test,Test Description.,Paperback,33
Test34,John Doe,1.99,2024,1,Test,Test Description.,Paperback,34
Test35,John Doe,1.99,2024,1,Test,Test Description.,Paperback,35
Test36,John Doe,1.99,2024,1,Test,Test Description.,Paperback,36
Test37,John Doe,1.99,2024,1,Test,Test Description.,Paperback,37
Test38,John Doe,1.99,2024,1,Test,Test Description.,Paperback,38
Test39,John Doe,1.99,2024,1,Test,Test Description.,Paperback,39
Test40,John Doe,1.99,2024,1,Test,Test Description.,Paperback,40
Test41,John Doe,1.99,2024,1,Test,Test Description.,Paperback,41
Test42,John Doe,1.99,2024,1,Test,Test Description.,Paperback,42
Test43,John Doe,1.99,2024,1,Test,Test Description.,Paperback,43
Test44,John Doe,1.99,2024,1,Test,Test Description.,Paperback,44
Test45,John Doe,1.99,2024,1,Test,Test Description.,Paperback,45
Test46,John Doe,1.99,2024,1,Test,Test Description.,Paperback,46
Test47,John Doe,1.99,2024,1,Test,Test Description.,Paperback,47
Test48,John Doe,1.99,2024,1,Test,Test Description.,Paperback,48
Test49,John Doe,1.99,2024,1,Test,Test Description.,Paperback,49
Test50,John Doe,1.99,2024,1,Test,Test Description.,Paperback,50
Test51,John Doe,1.99,2024,1,Test,Test Description.,Paperback,51
Test52,John Doe,1.99,2024,1,Test,Test Description.,Paperback,52
Test53,John Doe,1.99,2024,1,Test,Test Description.,Paperback,53
Test54,John Doe,1.99,2024,1,Test,Test Description.,Paperback,54
Test55,John Doe,1.99,2024,1,Test,Test Description.,Paperback,55
Test56,John Doe,1.99,2024,1,Test,Test Description.,Paperback,56
Test57,John Doe,1.99,2024,1,Test,Test Description.,Paperback,57
Test58,John Doe,1.99,2024,1,Test,Test Description.,Paperback,58
Test59,John Doe,1.99,2024,1,Test,Test Description.,Paperback,59
Test60,John Doe,1.99,2024,1,Test,Test Description.,Paperback,60
Test61,John Doe,1.99,2024,1,Test,Test Description.,Paperback,61
Test62,John Doe,1.99,2024,1,Test,Test Description.,Paperback,62
Test63,John Doe,1.99,2024,1,Test,Test Description.,Paperback,63
Test64,John Doe,1.99,2024,1,Test,Test Description.,Paperback,64
Test65,John Doe,1.99,2024,1,Test,Test Description.,Paperback,65
Test66,John Doe,1.99,2024,1,Test,Test Description.,Paperback,66
Test67,John Doe,1.99,2024,1,Test,Test Description.,Paperback,67
Test68,John Doe,1.99,2024,1,Test,Test Description.,Paperback,68
Test69,John Doe,1.99,2024,1,Test,Test Description.,Paperback,69
Test70,John Doe,1.99,2024,1,Test,Test Description.,Paperback,70
Test71,John Doe,1.99,2024,1,Test,Test Description.,Paperback,71
Test72,John Doe,1.99,2024,1,Test,Test Description.,Paperback,72
Test73,John Doe,1.99,2024,1,Test,Test Description.,Paperback,73
Test74,John Doe,1.99,2024,1,Test,Test Description.,Paperback,74
Test75,John Doe,1.99,2024,1,Test,Test Description.,Paperback,75
Test76,John Doe,1.99,2024,1,Test,Test Description.,Paperback,76
Test77,John Doe,1.99,2024,1,Test,Test Description.,Paperback,77
Test78,John Doe,1.99,2024,1,Test,Test Description.,Paperback,78
Test79,John Doe,1.99,2024,1,Test,Test Description.,Paperback,79
Test80,John Doe,1.99,2024,1,Test,Test Description.,Paperback,80
Test81,John Doe,1.99,2024,1,Test,Test Description.,Paperback,81
Test82,John Doe,1.99,2024,1,Test,Test Description.,Paperback,82
Test83,John Doe,1.99,2024,1,Test,Test Description.,Paperback,83
Test84,John Doe,1.99,2024,1,Test,Test Description.,Paperback,84
Test85,John Doe,1.99,2024,1,Test,Test Description.,Paperback,85
Test86,John Doe,1.99,2024,1,Test,Test Description.,Paperback,86
Test87,John Doe,1.99,2024,1,Test,Test Description.,Paperback,87
Test88,John Doe,1.99,2024,1,Test,Test Description.,Paperback,88
Test89,John Doe,1.99,2024,1,Test,Test Description.,Paperback,89
Test90,John Doe,1.99,2024,1,Test,Test Description.,Paperback,90
Test91,John Doe,1.99,2024,1,Test,Test Description.,Paperback,91
Test92,John Doe,1.99,2024,1,Test,Test Description.,Paperback,92
Test93,John Doe,1.99,2024,1,Test,Test Description.,Paperback,93
Test94,John Doe,1.99,2024,1,Test,Test Description.,Paperback,94
Test95,John Doe,1.99,2024,1,Test,Test Description.,Paperback,95
Test96,John Doe,1.99,2024,1,Test,Test Description.,Paperback,96
Test97,John Doe,1.99,2024,1,Test,Test Description.,Paperback,97
Test98,John Doe,1.99,2024,1,Test,Test Description.,Paperback,98
Test99,John Doe,1.99,2024,1,Test,Test Description.,Paperback,99
Test100,John Doe,1.99,2024,1,Test,Test Description.,Paperback,100
Test101,John Doe,1.99,2024,1,Test,Test Description.,Paperback,101
Test102,John Doe,1.99,2024,1,Test,Test Description.,Paperback,102
Test103,John Doe,1.99,2024,1,Test,Test Description.,Paperback,103
Test104,John Doe,1.99,2024,1,Test,Test Description.,Paperback,104
Test105,John Doe,1.99,2024,1,Test,Test Description.,Paperback,105
Test106,John Doe,1.99,2024,1,Test,Test Description.,Paperback,106
Test107,John Doe,1.99,2024,1,Test,Test Description.,Paperback,107
Test108,John Doe,1.99,2024,1,Test,Test Description.,Paperback,108
Test109,John Doe,1.99,2024,1,Test,Test Description.,Paperback,109
Test110,John Doe,1.99,2024,1,Test,Test Description.,Paperback,110
Test111,John Doe,1.99,2024,1,Test,Test Description.,Paperback,111
Test112,John Doe,1.99,2024,1,Test,Test Description.,Paperback,112
Test113,John Doe,1.99,2024,1,Test,Test Description.,Paperback,113
Test114,John Doe,1.99,2024,1,Test,Test Description.,Paperback,114
Test115,John Doe,1.99,2024,1,Test,Test Description.,Paperback,115
Test116,John Doe,1.99,2024,1,Test,Test Description.,Paperback,116
Test117,John Doe,1.99,2024,1,Test,Test Description.,Paperback,117
Test118,John Doe,1.99,2024,1,Test,Test Description.,Paperback,118
Test119,John Doe,1.99,2024,1,Test,Test Description.,Paperback,119
Test120,John Doe,1.99,2024,1,Test,Test Description.,Paperback,120
Test121,John Doe,1.99,2024,1,Test,Test Description.,Paperback,121
Test122,John Doe,1.99,2024,1,Test,Test Description.,Paperback,122
Test123,John Doe,1.99,2024,1,Test,Test Description.,Paperback,123
Test124,John Doe,1.99,2024,1,Test,Test Description.,Paperback,124
Test125,John Doe,1.99,2024,1,Test,Test Description.,Paperback,125
Test126,John Doe,1.99,2024,1,Test,Test Description.,Paperback,126
Test127,John Doe,1.99,2024,1,Test,Test Description.,Paperback,127
Test128,John Doe,1.99,2024,1,Test,Test Description.,Paperback,128
Test129,John Doe,1.99,2024,1,Test,Test Description.,Paperback,129
Test130,John Doe,1.99,2024,1,Test,Test Description.,Paperback,130
Test131,John Doe,1.99,2024,1,Test,Test Description.,Paperback,131
Test132,John Doe,1.99,2024,1,Test,Test Description.,Paperback,132
Test133,John Doe,1.99,2024,1,Test,Test Description.,Paperback,133
Test134,John Doe,1.99,2024,1,Test,Test Description.,Paperback,134
Test135,John Doe,1.99,2024,1,Test,Test Description.,Paperback,135
Test136,John Doe,1.99,2024,1,Test,Test Description.,Paperback,136
Test137,John Doe,1.99,2024,1,Test,Test Description.,Paperback,137
Test138,John Doe,1.99,2024,1,Test,Test Description.,Paperback,138
Test139,John Doe,1.99,2024,1,Test,Test Description.,Paperback,139
Test140,John Doe,1.99,2024,1,Test,Test Description.,Paperback,140
Test141,John Doe,1.99,2024,1,Test,Test Description.,Paperback,141
Test142,John Doe,1.99,2024,1,Test,Test Description.,Paperback,142
Test143,John Doe,1.99,2024,1,Test,Test Description.,Paperback,143
Test144,John Doe,1.99,2024,1,Test,Test Description.,Paperback,144
Test145,John Doe,1.99,2024,1,Test,Test Description.,Paperback,145
Test146,John Doe,1.99,2024,1,Test,Test Description.,Paperback,146
Test147,John Doe,1.99,2024,1,Test,Test Description.,Paperback,147
Test148,John Doe,1.99,2024,1,Test,Test Description.,Paperback,148
Test149,John Doe,1.99,2024,1,Test,Test Description.,Paperback,149
Test150,John Doe,1.99,2024,1,Test,Test Description.,Paperback,150
Test151,John Doe,1.99,2024,1,Test,Test Description.,Paperback,151
Test152,John Doe,1.99,2024,1,Test,Test Description.,Paperback,152
Test153,John Doe,1.99,2024,1,Test,Test Description.,Paperback,153
Test154,John Doe,1.99,2024,1,Test,Test Description.,Paperback,154
Test155,John Doe,1.99,2024,1,Test,Test Description.,Paperback,155
Test156,John Doe,1.99,2024,1,Test,Test Description.,Paperback,156
Test157,John Doe,1.99,2024,1,Test,Test Description.,Paperback,157
Test158,John Doe,1.99,2024,1,Test,Test Description.,Paperback,158
Test159,John Doe,1.99,2024,1,Test,Test Description.,Paperback,159
Test160,John Doe,1.99,2024,1,Test,Test Description.,Paperback,160
Test161,John Doe,1.99,2024,1,Test,Test Description.,Paperback,161
Test162,John Doe,1.99,2024,1,Test,Test Description.,Paperback,162
Test163,John Doe,1.99,2024,1,Test,Test Description.,Paperback,163
Test164,John Doe,1.99,2024,1,Test,Test Description.,Paperback,164
Test165,John Doe,1.99,2024,1,Test,Test Description.,Paperback,165
Test166,John Doe,1.99,2024,1,Test,Test Description.,Paperback,166
Test167,John Doe,1.99,2024,1,Test,Test Description.,Paperback,167
Test168,John Doe,1.99,2024,1,Test,Test Description.,Paperback,168
Test169,John Doe,1.99,2024,1,Test,Test Description.,Paperback,169
Test170,John Doe,1.99,2024,1,Test,Test Description.,Paperback,170
Test171,John Doe,1.99,2024,1,Test,Test Description.,Paperback,171
Test172,John Doe,1.99,2024,1,Test,Test Description.,Paperback,172
Test173,John Doe,1.99,2024,1,Test,Test Description.,Paperback,173
Test174,John Doe,1.99,2024,1,Test,Test Description.,Paperback,174
Test175,John Doe,1.99,2024,1,Test,Test Description.,Paperback,175
Test176,John Doe,1.99,2024,1,Test,Test Description.,Paperback,176
Test177,John Doe,1.99,2024,1,Test,Test Description.,Paperback,177
Test178,John Doe,1.99,2024,1,Test,Test Description.,Paperback,178
Test179,John Doe,1.99,2024,1,Test,Test Description.,Paperback,179
Test180,John Doe,1.99,2024,1,Test,Test Description.,Paperback,180
Test181,John Doe,1.99,2024,1,Test,Test Description.,Paperback,181
Test182,John Doe,1.99,2024,1,Test,Test Description.,Paperback,182
Test183,John Doe,1.99,2024,1,Test,Test Description.,Paperback,183
Test184,John Doe,1.99,2024,1,Test,Test Description.,Paperback,184
Test185,John Doe,1.99,2024,1,Test,Test Description.,Paperback,185
Test186,John Doe,1.99,2024,1,Test,Test Description.,Paperback,186
Test187,John Doe,1.99,2024,1,Test,Test Description.,Paperback,187
Test188,John Doe,1.99,2024,1,Test,Test Description.,Paperback,188
Test189,John Doe,1.99,2024,1,Test,Test Description.,Paperback,189
Test190,John Doe,1.99,2024,1,Test,Test Description.,Paperback,190
Test191,John Doe,1.99,2024,1,Test,Test Description.,Paperback,191
Test192,John Doe,1.99,2024,1,Test,Test Description.,Paperback,192
Test193,John Doe,1.99,2024,1,Test,Test Description.,Paperback,193
Test194,John Doe,1.99,2024,1,Test,Test Description.,Paperback,194
Test195,John Doe,1.99,2024,1,Test,Test Description.,Paperback,195
Test196,John Doe,1.99,2024,1,Test,Test Description.,Paperback,196
Test197,John Doe,1.99,2024,1,Test,Test Description.,Paperback,197
Test198,John Doe,1.99,2024,1,Test,Test Description.,Paperback,198
Test199,John Doe,1.99,2024,1,Test,Test Description.,Paperback,199
Test200,John Doe,1.99,2024,1,Test,Test Description.,Paperback,200
Test201,John Doe,1.99,2024,1,Test,Test Description.,Paperback,201
Test202,John Doe,1.99,2024,1,Test,Test Description.,Paperback,202
Test203,John Doe,1.99,2024,1,Test,Test Description.,Paperback,203
Test204,John Doe,1.99,2024,1,Test,Test Description.,Paperback,204
Test205,John Doe,1.99,2024,1,Test,Test Description.,Paperback,205
Test206,John Doe,1.99,2024,1,Test,Test Description.,Paperback,206
Test207,John Doe,1.99,2024,1,Test,Test Description.,Paperback,207
Test208,John Doe,1.99,2024,1,Test,Test Description.,Paperback,208
Test209,John Doe,1.99,2024,1,Test,Test Description.,Paperback,209
Test210,John Doe,1.99,2024,1,Test,Test Description.,Paperback,210
Test211,John Doe,1.99,2024,1,Test,Test Description.,Paperback,211
Test212,John Doe,1.99,2024,1,Test,Test Description.,Paperback,212
Test213,John Doe,1.99,2024,1,Test,Test Description.,Paperback,213
Test214,John Doe,1.99,2024,1,Test,Test Description.,Paperback,214
Test215,John Doe,1.99,2024,1,Test,Test Description.,Paperback,215
Test216,John Doe,1.99,2024,1,Test,Test Description.,Paperback,216
Test217,John Doe,1.99,2024,1,Test,Test Description.,Paperback,217
Test218,John Doe,1.99,2024,1,Test,Test Description.,Paperback,218
Test219,John Doe,1.99,2024,1,Test,Test Description.,Paperback,219
Test220,John Doe,1.99,2024,1,Test,Test Description.,Paperback,220
Test221,John Doe,1.99,2024,1,Test,Test Description.,Paperback,221
Test222,John Doe,1.99,2024,1,Test,Test Description.,Paperback,222
Test223,John Doe,1.99,2024,1,Test,Test Description.,Paperback,223
Test224,John Doe,1.99,2024,1,Test,Test Description.,Paperback,224
Test225,John Doe,1.99,2024,1,Test,Test Description.,Paperback,225
Test226,John Doe,1.99,2024,1,Test,Test Description.,Paperback,226
Test227,John Doe,1.99,2024,1,Test,Test Description.,Paperback,227
Test228,John Doe,1.99,2024,1,Test,Test Description.,Paperback,228
Test229,John Doe,1.99,2024,1,Test,Test Description.,Paperback,229
Test230,John Doe,1.99,2024,1,Test,Test Description.,Paperback,230
Test231,John Doe,1.99,2024,1,Test,Test Description.,Paperback,231
Test232,John Doe,1.99,2024,1,Test,Test Description.,Paperback,232
Test233,John Doe,1.99,2024,1,Test,Test Description.,Paperback,233
Test234,John Doe,1.99,2024,1,Test,Test Description.,Paperback,234
Test235,John Doe,1.99,2024,1,Test,Test Description.,Paperback,235
Test236,John Doe,1.99,2024,1,Test,Test Description.,Paperback,236
Test237,John Doe,1.99,2024,1,Test,Test Description.,Paperback,237
Test238,John Doe,1.99,2024,1,Test,Test Description.,Paperback,238
Test239,John Doe,1.99,2024,1,Test,Test Description.,Paperback,239
Test240,John Doe,1.99,2024,1,Test,Test Description.,Paperback,240
Test241,John Doe,1.99,2024,1,Test,Test Description.,Paperback,241
Test242,John Doe,1.99,2024,1,Test,Test Description.,Paperback,242
Test243,John Doe,1.99,2024,1,Test,Test Description.,Paperback,243
Test244,John Doe,1.99,2024,1,Test,Test Description.,Paperback,244
Test245,John Doe,1.99,2024,1,Test,Test Description.,Paperback,245
Test246,John Doe,1.99,2024,1,Test,Test Description.,Paperback,246
Test247,John Doe,1.99,2024,1,Test,Test Description.,Paperback,247
Test248,John Doe,1.99,2024,1,Test,Test Description.,Paperback,248
Test249,John Doe,1.99,2024,1,Test,Test Description.,Paperback,249
Test250,John Doe,1.99,2024,1,Test,Test Description.,Paperback,250
Test251,John Doe,1.99,2024,1,Test,Test Description.,Paperback,251
Test252,John Doe,1.99,2024,1,Test,Test Description.,Paperback,252
Test253,John Doe,1.99,2024,1,Test,Test Description.,Paperback,253
Test254,John Doe,1.99,2024,1,Test,Test Description.,Paperback,254
Test255,John Doe,1.99,2024,1,Test,Test Description.,Paperback,255
Test256,John Doe,1.99,2024,1,Test,Test Description.,Paperback,256
Test257,John Doe,1.99,2024,1,Test,Test Description.,Paperback,257
Test258,John Doe,1.99,2024,1,Test,Test Description.,Paperback,258
Test259,John Doe,1.99,2024,1,Test,Test Description.,Paperback,259
Test260,John Doe,1.99,2024,1,Test,Test Description.,Paperback,260
